gsc_col-xs-12 src,assured,photoNumber,imageTransition src,views,imageTransition src 2,model_year,company,model,variant,distance_covered,type,gear,price,emitextCard,emitextCard 2,emitextCard 3,place
https://images10.gaadicdn.com/usedcar_image/original/VCC_1322102_24_1641203996.jpg,CarDekho Assured,15,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,143,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2019,Hyundai,Verna,,"8,185 kms",Petrol,manual,"9,30,000",EMI,@,"? 18,831",
https://images10.gaadicdn.com/usedcar_image/original/VCC_1328610_24_1641809716.jpg,CarDekho Assured,14,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,63,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2018,Maruti,Baleno,,"24,233 kms",Petrol,automatic,"7,40,000",EMI,@,"? 17,703",
https://images10.gaadicdn.com/usedcar_image/original/VCC_1328012_24_1641794841.jpg,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,269,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2017,Tata,Tiago,,"11,406 kms",Petrol,manual,"4,04,000",EMI,@,"? 12,164",
https://images10.gaadicdn.com/usedcar_image/original/VCC_VCC_1327078_24_1641633775_1328126_24_1641796361.jpg,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,185,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2015,Tata,Zest,,"59,068 kms",Petrol,manual,"3,76,000",EMI,@,"? 30,146",
https://images10.gaadicdn.com/usedcar_image/original/VCC_1325866_24_1641543218.jpg,CarDekho Assured,6,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,113,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2014,Maruti,Alto,K10,"61,443 kms",Petrol,manual,"2,51,000",,,,
https://images10.gaadicdn.com/usedcar_image/original/VCC_VCC_1325730_24_1641539158_1327728_24_1641716191.jpg,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,83,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2016,Toyota,Etios,,"16,637 kms",Petrol,manual,"5,71,500",EMI,@,"? 24,333",
https://images10.gaadicdn.com/usedcar_image/original/VCC_VCC_1325226_24_1641469316_1326825_24_1641624388.jpg,CarDekho Assured,19,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,85,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2018,Toyota,Yaris,,"19,482 kms",Petrol,manual,"8,29,000",EMI,@,"? 16,786",
https://images10.gaadicdn.com/usedcar_image/original/VCC_VCC_1324536_24_1641454144_1327378_24_1641644694.jpg,CarDekho Assured,14,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,143,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2012,Maruti,Swift,,"62,193 kms",Petrol,manual,"3,76,500",,,,
https://images10.gaadicdn.com/usedcar_image/original/individual_cars_2157113_1562841728.jpg,CarDekho Partner Car,2,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,622,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2013,Toyota,Fortuner,,"56,000 kms",Diesel,automatic,"17,00,000",,,,New Delhi
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,12,https://stimg.cardekho.com/pwa/img/spacer3x2.png,138,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2018,Maruti,Wagon,R,"72,342 kms",CNG,manual,"5,08,000",EMI,@,"? 12,153",
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,15,https://stimg.cardekho.com/pwa/img/spacer3x2.png,56,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2016,Maruti,Celerio,,"69,890 kms",Petrol,automatic,"4,57,500",EMI,@,"? 13,775",
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/spacer3x2.png,66,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2017,Renault,KWID,,"18,819 kms",Petrol,automatic,"4,20,500",EMI,@,"? 10,060",
