gsc_col-xs-12 src,assured,photoNumber,imageTransition src,views,imageTransition src 2,model_year,company,model,variant,distance_covered,type,gear,price,emitextCard,emitextCard 2,emitextCard 3,place
https://images10.gaadicdn.com/usedcar_image/original/VCC_1330779_24_1641986547.jpg,CarDekho Assured,16,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,231,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2018,Hyundai,Grand,i10,"53,077 kms",Petrol,manual,"5,37,500",EMI,@,"? 12,859",
https://images10.gaadicdn.com/usedcar_image/original/VCC_1330721_24_1641984950.jpg,CarDekho Assured,15,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,277,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2015,Hyundai,i20,,"36,525 kms",Petrol,manual,"6,17,000",EMI,@,"? 26,270",
https://images10.gaadicdn.com/usedcar_image/original/VCC_1330631_24_1641982771.jpg,CarDekho Assured,15,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,81,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2015,Hyundai,Grand,i10,"32,207 kms",Petrol,manual,"5,08,500",EMI,@,"? 40,769",
https://images10.gaadicdn.com/usedcar_image/original/VCC_1330350_24_1641975717.jpg,CarDekho Assured,16,https://stimg.cardekho.com/pwa/img/spacer3x2.png,454,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2019,Skoda,Rapid,,"30,984 kms",Petrol,automatic,"8,92,500",EMI,@,"? 18,072",
https://images10.gaadicdn.com/usedcar_image/original/VCC_VCC_VCC_VCC_1186016_24_1628237217_1296028_24_1638785981_1325094_24_1641465382_1330305_24_1641972109.jpg,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/spacer3x2.png,210,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2019,Hyundai,i20,,"15,441 kms",Petrol,manual,"6,65,000",EMI,@,"? 13,466",
https://images10.gaadicdn.com/usedcar_image/original/VCC_1330107_24_1641968496.jpg,CarDekho Assured,15,https://stimg.cardekho.com/pwa/img/spacer3x2.png,97,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2013,Hyundai,Grand,i10,"50,673 kms",Petrol,manual,"4,43,500",,,,
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,16,https://stimg.cardekho.com/pwa/img/spacer3x2.png,148,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2015,Volkswagen,Polo,,"45,324 kms",Petrol,manual,"5,70,500",EMI,@,"? 45,740",
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,21,https://stimg.cardekho.com/pwa/img/spacer3x2.png,173,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2015,Hyundai,EON,,"36,426 kms",Petrol,manual,"2,85,000",EMI,@,"? 22,850",
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/spacer3x2.png,128,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2017,Maruti,Ignis,,"24,047 kms",Petrol,manual,"4,50,500",EMI,@,"? 13,564",
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,16,https://stimg.cardekho.com/pwa/img/spacer3x2.png,118,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2017,Hyundai,EON,,"36,411 kms",Petrol,manual,"3,50,500",EMI,@,"? 8,385",
