gsc_col-xs-12 src,assured,photoNumber,imageTransition src,views,imageTransition src 2,model_year,company,model,variant,distance_covered,type,gear,price,fixedpriceText,emitextCard,emitextCard 2,emitextCard 3,place
https://images10.gaadicdn.com/usedcar_image/original/usedcar_vcc_1122388_116_1622705049_383651629031328_1629031430.jpg,CarDekho Partner Car,11,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,,,2014,Ford,Ecosport,,"2,60,596 kms",Diesel,manual,"3,88,000",,,,,New Delhi
https://images10.gaadicdn.com/usedcar_image/original/zz1_crop_img_611a3d879e6c3_1629109639.jpg,CarDekho Partner Car,9,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,,,2013,Hyundai,Verna,,"1,14,676 kms",Diesel,manual,"3,33,000",,,,,New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_1105416_116_1618903742.jpg,CarDekho Partner Car,12,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,,,2014,Toyota,Etios,Cross,"1,68,945 kms",Diesel,manual,"3,28,000",,EMI,@,"? 26,298",New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_1309403_24_1639985729.jpg,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,223,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2015,Nissan,Micra,Active,"99,350 kms",Petrol,manual,"2,10,000",Fixed Price,EMI,@,"? 16,837",New Delhi
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/spacer3x2.png,192,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2016,Renault,KWID,,"83,594 kms",Petrol,manual,"2,32,000",Fixed Price,EMI,@,"? 9,878",New Delhi
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,32,https://stimg.cardekho.com/pwa/img/spacer3x2.png,153,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2017,Maruti,Ciaz,,"66,732 kms",Petrol,manual,"6,60,000",,EMI,@,"? 19,872",New Delhi
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,14,https://stimg.cardekho.com/pwa/img/spacer3x2.png,211,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2016,Renault,KWID,,"21,889 kms",Petrol,manual,"2,63,500",Fixed Price,EMI,@,"? 7,934",New Delhi
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,14,https://stimg.cardekho.com/pwa/img/spacer3x2.png,172,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2020,Honda,Amaze,,"19,770 kms",Petrol,automatic,"8,75,500",Fixed Price,EMI,@,"? 17,728",New Delhi
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,16,https://stimg.cardekho.com/pwa/img/spacer3x2.png,155,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2012,Maruti,Alto,,"41,545 kms",Petrol,manual,"2,01,000",Fixed Price,,,,New Delhi
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,19,https://stimg.cardekho.com/pwa/img/spacer3x2.png,454,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2019,Maruti,Celerio,,"38,485 kms",Petrol,manual,"3,96,000",,EMI,@,"? 8,019",New Delhi
