gsc_col-xs-12 src,assured,photoNumber,imageTransition src,views,imageTransition src 2,model_year,company,model,variant,distance_covered,type,gear,price,emitextCard,emitextCard 2,emitextCard 3,place
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Partner Car,17,https://stimg.cardekho.com/pwa/img/spacer3x2.png,5,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2017,Volkswagen,Polo,,"1,08,445 kms",Diesel,manual,"5,50,000",EMI,@,"? 16,560",Ahmedabad
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Partner Car,21,https://stimg.cardekho.com/pwa/img/spacer3x2.png,10,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2011,Chevrolet,Cruze,,"55,000 kms",Diesel,manual,"3,50,000",,,,Ahmedabad
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Partner Car,16,https://stimg.cardekho.com/pwa/img/spacer3x2.png,8,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2019,Honda,City,,"13,000 kms",Petrol,manual,"9,50,000",EMI,@,"? 19,236",Ahmedabad
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Partner Car,20,https://stimg.cardekho.com/pwa/img/spacer3x2.png,6,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2017,Hyundai,Grand,i10,"16,830 kms",Petrol,automatic,"5,50,000",EMI,@,"? 16,560",Ahmedabad
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Partner Car,22,https://stimg.cardekho.com/pwa/img/spacer3x2.png,18,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2018,Honda,Amaze,,"46,000 kms",Petrol,manual,"6,50,000",EMI,@,"? 15,550",Ahmedabad
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Partner Car,13,https://stimg.cardekho.com/pwa/img/spacer3x2.png,3,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2018,Maruti,Baleno,,"62,000 kms",Petrol,manual,"5,90,000",EMI,@,"? 14,114",Ahmedabad
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Partner Car,1,https://stimg.cardekho.com/pwa/img/spacer3x2.png,5,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2012,Maruti,Ritz,,"57,000 kms",Petrol,manual,"3,00,000",,,,Ahmedabad
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Partner Car,1,https://stimg.cardekho.com/pwa/img/spacer3x2.png,3,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2009,Honda,City,,"70,000 kms",Petrol,manual,"3,70,000",,,,Ahmedabad
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Partner Car,1,https://stimg.cardekho.com/pwa/img/spacer3x2.png,8,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2015,Hyundai,i10,,"61,000 kms",Petrol,manual,"3,60,000",EMI,@,"? 28,863",Ahmedabad
https://images10.gaadicdn.com/usedcar_image/original/zz1_crop_img_61af0efbf385f_1638862587.jpg,CarDekho Partner Car,2,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,18,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2010,Honda,Accord,,"71,000 kms",Petrol,automatic,"4,15,000",,,,Ahmedabad
https://images10.gaadicdn.com/usedcar_image/original/zz1_crop_img_61af01db1a49b_1638859227.jpg,CarDekho Partner Car,2,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,4,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2012,Maruti,SX4,,"75,000 kms",Diesel,manual,"3,25,000",,,,Ahmedabad
https://images10.gaadicdn.com/usedcar_image/original/used_car_2396181_1638857593.jpg,CarDekho Partner Car,11,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,8,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2013,Renault,Duster,,"65,000 kms",Diesel,manual,"4,00,000",,,,Ahmedabad
https://images10.gaadicdn.com/usedcar_image/original/used_car_2396195_1638858243.jpg,CarDekho Partner Car,14,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,29,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2010,Maruti,Zen,Estilo,"70,000 kms",CNG,manual,"2,25,000",,,,Ahmedabad
https://images10.gaadicdn.com/usedcar_image/original/zz1_crop_img_61c2bebd40d02_1640152765.jpg,CarDekho Partner Car,12,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,29,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2010,Maruti,Alto,,"60,000 kms",Petrol,manual,"1,80,000",,,,Ahmedabad
https://images10.gaadicdn.com/usedcar_image/original/used_car_2396167_1638866175.jpg,CarDekho Partner Car,9,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,7,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2008,Maruti,Alto,,"70,000 kms",Petrol,manual,"1,60,000",,,,Ahmedabad
https://images10.gaadicdn.com/usedcar_image/original/zz1_crop_img_61aef8cb149e3_1638856907.jpg,CarDekho Partner Car,2,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,5,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2010,Nissan,Micra,,"60,000 kms",Petrol,manual,"2,30,000",,,,Ahmedabad
https://images10.gaadicdn.com/usedcar_image/original/used_car_2396154_1638856039.jpg,CarDekho Partner Car,14,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,4,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2015,Hyundai,i10,,"65,000 kms",Petrol,manual,"3,70,000",EMI,@,"? 29,665",Ahmedabad
https://images10.gaadicdn.com/usedcar_image/original/zz1_crop_img_61aefcd3826a7_1638857939.jpg,CarDekho Partner Car,1,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,12,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2016,Honda,City,,"58,000 kms",Diesel,manual,"6,50,000",EMI,@,"? 27,675",Ahmedabad
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Partner Car,6,https://stimg.cardekho.com/pwa/img/spacer3x2.png,9,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2014,Nissan,Micra,Active,"48,000 kms",Petrol,manual,"3,11,111",,,,Ahmedabad
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Partner Car,14,https://stimg.cardekho.com/pwa/img/spacer3x2.png,6,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2020,Maruti,Ciaz,,"14,000 kms",Petrol,manual,"10,00,000",EMI,@,"? 20,249",Ahmedabad
https://images10.gaadicdn.com/usedcar_image/original/zz1_crop_img_61af0efbf385f_1638862587.jpg,CarDekho Partner Car,2,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,18,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2010,Honda,Accord,,"71,000 kms",Petrol,automatic,"4,15,000",,,,Ahmedabad
https://images10.gaadicdn.com/usedcar_image/original/zz1_crop_img_61af01db1a49b_1638859227.jpg,CarDekho Partner Car,2,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,4,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2012,Maruti,SX4,,"75,000 kms",Diesel,manual,"3,25,000",,,,Ahmedabad
https://images10.gaadicdn.com/usedcar_image/original/used_car_2396181_1638857593.jpg,CarDekho Partner Car,11,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,8,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2013,Renault,Duster,,"65,000 kms",Diesel,manual,"4,00,000",,,,Ahmedabad
https://images10.gaadicdn.com/usedcar_image/original/used_car_2396195_1638858243.jpg,CarDekho Partner Car,14,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,29,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2010,Maruti,Zen,Estilo,"70,000 kms",CNG,manual,"2,25,000",,,,Ahmedabad
https://images10.gaadicdn.com/usedcar_image/original/zz1_crop_img_61c2bebd40d02_1640152765.jpg,CarDekho Partner Car,12,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,29,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2010,Maruti,Alto,,"60,000 kms",Petrol,manual,"1,80,000",,,,Ahmedabad
https://images10.gaadicdn.com/usedcar_image/original/used_car_2396167_1638866175.jpg,CarDekho Partner Car,9,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,7,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2008,Maruti,Alto,,"70,000 kms",Petrol,manual,"1,60,000",,,,Ahmedabad
https://images10.gaadicdn.com/usedcar_image/original/zz1_crop_img_61aef8cb149e3_1638856907.jpg,CarDekho Partner Car,2,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,5,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2010,Nissan,Micra,,"60,000 kms",Petrol,manual,"2,30,000",,,,Ahmedabad
https://images10.gaadicdn.com/usedcar_image/original/used_car_2396154_1638856039.jpg,CarDekho Partner Car,14,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,4,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2015,Hyundai,i10,,"65,000 kms",Petrol,manual,"3,70,000",EMI,@,"? 29,665",Ahmedabad
https://images10.gaadicdn.com/usedcar_image/original/zz1_crop_img_61aefcd3826a7_1638857939.jpg,CarDekho Partner Car,1,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,12,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2016,Honda,City,,"58,000 kms",Diesel,manual,"6,50,000",EMI,@,"? 27,675",Ahmedabad
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Partner Car,14,https://stimg.cardekho.com/pwa/img/spacer3x2.png,11,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2014,Mercedes-Benz,E-Class,,"31,000 kms",Diesel,automatic,"21,50,000",,,,Ahmedabad
https://images10.gaadicdn.com/usedcar_image/original/zz1_crop_img_61c167969cfbe_1640064918.jpg,CarDekho Partner Car,18,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,22,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2021,Kia,Carnival,,"4,400 kms",Diesel,automatic,"26,50,000",EMI,@,"? 53,658",Ahmedabad
https://images10.gaadicdn.com/usedcar_image/original/used_car_2395539_1640059293.jpg,CarDekho Partner Car,15,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,13,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2019,Hyundai,i20,,"14,000 kms",Petrol,manual,"7,90,000",EMI,@,"? 15,997",Ahmedabad
https://images10.gaadicdn.com/usedcar_image/original/zz1_crop_img_61ab577f08a6f_1638619007.jpg,CarDekho Partner Car,18,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,5,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2011,Hyundai,i10,,"55,000 kms",Petrol,manual,"2,85,000",,,,Ahmedabad
https://images10.gaadicdn.com/usedcar_image/original/zz1_crop_img_61d2d42345a1a_1641206819.jpg,CarDekho Partner Car,16,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,7,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2013,Hyundai,Verna,,"44,000 kms",Diesel,automatic,"5,49,101",,,,Ahmedabad
